id	university	publications	publications_frac	top_pubs	top_pubs_frac	collaboration	oa	country_iso_num_code	wikipedia_url	established_year	page_id	namespace	title	is_redirect	is_new	touched	links_updated	latest	len	content_model	page_edits	creation	editors	views	references	langlinks	univ_age	page_age	pp_top	1y_views	2y_views
1522	Isfahan Univ Technol	5458	3443	497	275	3366	1276	364.0	Isfahan_University_of_Technology	1977.0	3581057	0	Isfahan_University_of_Technology	0	0	20210626182451	20210623132542.0	1026933778	17255	wikitext	465.0	2005-12-31	194.0	1692.0	8.0	3	44.0	16	0.0910589959692195	10179	21367
1523	Iran Univ Sci & Technol	5305	3676	507	343	2958	781	364.0	Iran_University_of_Science_and_Technology	1929.0	2073099	0	Iran_University_of_Science_and_Technology	0	0	20210626181932	20210623124543.0	1023502192	20970	wikitext	422.0	2005-06-19	202.0	3230.0	1.0	11	92.0	16	0.09557021677662582	17887	37579
1524	Univ Tabriz	4687	2847	501	270	3264	821	364.0	University_of_Tabriz	1946.0	1200436	0	University_of_Tabriz	0	0	20210626181450	20210623141203.0	1021297529	13332	wikitext	509.0	2004-11-23	191.0	1676.0	11.0	10	75.0	17	0.10689140174951994	8954	19322
1525	Shahid Beheshti Univ Med Sci	6318	2935	483	157	5389	1732	364.0	Shahid_Beheshti_University_of_Medical_Sciences	1961.0	2370326	0	Shahid_Beheshti_University_of_Medical_Sciences	0	0	20210626182024	20210625171403.0	1026135486	8908	wikitext	297.0	2005-08-03	93.0	1342.0	1.0	3	60.0	16	0.07644824311490978	7190	14433
1526	Univ Quebec Montreal	3984	1651	453	166	3383	1849	124.0	Université_du_Québec_à_Montréal	1969.0	158763	0	Université_du_Québec_à_Montréal	0	0	20210626180754	20210626180952.0	1009054224	17954	wikitext	392.0	2002-12-17	226.0	6133.0	16.0	22	52.0	19	0.11370481927710843	32919	71783
1528	Ain Shams Univ	5395	2373	450	135	4268	1766	818.0	Ain_Shams_University	1950.0	1980417	0	Ain_Shams_University	0	0	20210627070947	20210627071015.0	1030563417	9875	wikitext	519.0	2005-06-02	246.0	5861.0	7.0	18	71.0	16	0.08341056533827618	31821	62657
1529	Cairo Univ	9313	4293	768	246	7496	3175	818.0	Cairo_University	1908.0	609874	0	Cairo_University	0	0	20210626181101	20210624125358.0	1023647382	22087	wikitext	664.0	2004-04-21	421.0	17120.0	7.0	55	113.0	17	0.08246537098679266	80269	158730
1530	Gunma Univ	2495	1251	156	50	1944	1231	392.0	Gunma_University	1949.0	15175976	0	Gunma_University	0	0	20210623130833	20210623161745.0	1014812901	9025	wikitext	47.0	2008-01-12	31.0	1008.0	1.0	9	72.0	13	0.0625250501002004	6043	11308
1532	Univ Canterbury	3895	1500	443	118	3353	2124	554.0	University_of_Canterbury	1873.0	32242	0	University_of_Canterbury	0	0	20210629131731	20210629131728.0	1031042910	79930	wikitext	1563.0	2001-12-07	539.0	12895.0	100.0	23	148.0	20	0.11373555840821566	75364	172495
1533	Cent S Univ	26993	16950	3236	1828	18777	10133	156.0	Central_South_University	2000.0	3025039	0	Central_South_University	0	0	20210629205415	20210629205702.0	1031104065	10279	wikitext	273.0	2005-10-29	129.0	3858.0	3.0	3	21.0	16	0.11988293261215871	22698	43979
1534	Southeast Univ	20397	11650	2408	1183	15267	6685	156.0	Southeast_University	1902.0	919151	0	Southeast_University	0	0	20210626212144	20210626224144.0	1028811679	32346	wikitext	534.0	2004-08-22	223.0	4058.0	25.0	11	119.0	17	0.11805657694759034	23689	53095
1535	E China Normal Univ	9080	4748	1131	536	7329	2954	156.0	East_China_Normal_University	1951.0	233606	0	East_China_Normal_University	0	0	20210626212138	20210626221244.0	1028817011	37578	wikitext	518.0	2003-05-25	208.0	5567.0	23.0	34	70.0	18	0.12455947136563876	30960	65037
1536	S China Univ Technol	18481	11226	2540	1421	13162	4384	156.0	South_China_University_of_Technology	1952.0	399382	0	South_China_University_of_Technology	0	0	20210626180943	20210623125139.0	1028814423	13861	wikitext	334.0	2003-12-13	144.0	3948.0	6.0	10	69.0	18	0.13743845030030843	22072	50492
1537	Hunan Univ	11730	6996	2077	1230	8877	2560	156.0	Hunan_University	976.0	524984	0	Hunan_University	0	0	20210626181028	20210623131407.0	1026632962	25681	wikitext	362.0	2004-03-14	125.0	3593.0	20.0	9	1045.0	17	0.17706734867860188	20719	40044
1538	Univ Sci & Technol Beijing	12102	7418	1441	770	8795	2958	156.0	University_of_Science_and_Technology_Beijing	1952.0	919309	0	University_of_Science_and_Technology_Beijing	0	0	20210626181309	20210623124239.0	1025608569	13846	wikitext	215.0	2004-08-22	108.0	1827.0	5.0	6	69.0	17	0.1190712278962155	11607	25522
1539	E Carolina Univ	2821	1254	311	98	2270	1421	840.0	East_Carolina_University	1907.0	89488	0	East_Carolina_University	0	0	20210630041419	20210630041430.0	1022658648	84104	wikitext	2035.0	2002-09-22	726.0	23313.0	104.0	13	114.0	19	0.11024459411556185	122811	295305
1540	Florida Intl Univ	5943	2414	751	227	4918	3151	840.0	Florida_International_University	1965.0	387849	0	Florida_International_University	0	0	20210630192937	20210630041934.0	1030563287	125905	wikitext	3082.0	2003-12-04	907.0	38001.0	166.0	28	56.0	18	0.1263671546357059	180027	413594
1542	Ehime Univ	2820	1192	190	42	2373	1386	392.0	Ehime_University	1949.0	6183260	0	Ehime_University	0	0	20210626183033	20210626230349.0	962611159	4806	wikitext	49.0	2006-07-30	35.0	1033.0	1.0	7	72.0	15	0.0673758865248227	5440	11626
1543	Kindai Univ	3372	1491	282	66	2685	1695	392.0	Kindai_University	1925.0	1681186	0	Kindai_University	0	0	20210626181746	20210623124658.0	1020832931	10938	wikitext	228.0	2005-04-02	95.0	1835.0	5.0	5	96.0	16	0.08362989323843416	13040	28741
1544	Kitasato Univ	2845	1293	181	41	2214	1483	392.0	Kitasato_University	1970.0	16833892	0	Kitasato_University	0	0	20210626184720	20210626184756.0	996807606	4719	wikitext	62.0	2008-04-08	40.0	1014.0	1.0	7	51.0	13	0.06362038664323375	6127	12781
